Job Title,Job Description,Salary,Applying Link,Company,Location
Data Science Instructor,"Job Title: Data Science Instructor – Offline Learning Centres Location: Bengaluru, Karnataka Working Days: 6 (Monday – Saturday) About upGra dFounded in 2015, upGrad is Asia’s largest integrated Learning, Skilling, Workforce Development, and Placement company. Its offerings include online and hybrid degrees, study abroad programs, certifications, bootcamps, and doctorates for working professionals. Through its B2B arm, upGrad also provides enterprise training, recruitment, and staffing services…",Not specified,https://www.adzuna.in/land/ad/5774751270?se=CJ4sLs998RGNqvBiBxieKA&utm_medium=api&utm_source=d6220ea2&v=4253B46A1144E5DBC0FAAA0731E3E34D9FE0BD6C,upGrad,"Bangalore, Karnataka"
Staff Data Scientist,"This job is with Warner Bros. Discovery, an inclusive employer and a member of myGwork – the largest global platform for the LGBTQ business community. Please do not contact the recruiter directly. Welcome to Warner Bros. Discovery… the stuff dreams are made of. Who We Are… When we say, “the stuff dreams are made of,” we’re not just referring to the world of wizards, dragons and superheroes, or even to the wonders of Planet Earth. Behind WBD’s vast portfolio of iconic content and beloved brands,…",Not specified,https://www.adzuna.in/land/ad/5785770687?se=CJ4sLs998RGNqvBiBxieKA&utm_medium=api&utm_source=d6220ea2&v=591AD79BF34247332ED613A536384DB552108E90,Warner Bros. Discovery,"Bangalore, Karnataka"
"Manager, Data Science","This job is with Standard Chartered Bank, an inclusive employer and a member of myGwork – the largest global platform for the LGBTQ business community. Please do not contact the recruiter directly. Job Summary The individual will be part of the AAIOps team, responsible for shaping a state-of-the-art ecosystem(in terms of tools, technology and datamart) for data, analytics & AI roles within SCMAC while aligning with wider SCB tech simplification effort. The individual will play a crucial part in…",Not specified,https://www.adzuna.in/land/ad/5785771718?se=CJ4sLs998RGNqvBiBxieKA&utm_medium=api&utm_source=d6220ea2&v=2C06EC0E8136D6BA0CCD8D187289C60B661449CF,Standard Chartered Bank,"Bangalore, Karnataka"
Assistant Professor - Data Science,"Data Science programme at Symbiosis University of Applied Sciences is an industry-oriented, multidisciplinary undergraduate programme that prepares students from diverse academic backgrounds - mathematics, commerce, humanities, economics, and the biological sciences - for careers in data science, artificial intelligence, analytics, and emerging technologies. The curriculum builds strong foundations in mathematics, statistics, and programming, and progresses through applied machine learning, dee…",Not specified,https://www.adzuna.in/land/ad/5770622937?se=CJ4sLs998RGNqvBiBxieKA&utm_medium=api&utm_source=d6220ea2&v=6E0BF2A0ECCDA812E4A92BD8A815D0D454335D80,Symbiosis University of Applied Sciences,"Indore, Madhya Pradesh"
Data Scientist with R programming,"This job is with Capco, an inclusive employer and a member of myGwork – the largest global platform for the LGBTQ business community. Please do not contact the recruiter directly. Job Title: Data Scientist with R programming About Us “Capco, a Wipro company, is a global technology and management consulting firm. Awarded with Consultancy of the year in the British Bank Award and has been ranked Top 100 Best Companies for Women in India 2022 by Avtar & Seramount . With our presence across 32 citi…",Not specified,https://www.adzuna.in/land/ad/5785770751?se=CJ4sLs998RGNqvBiBxieKA&utm_medium=api&utm_source=d6220ea2&v=D3DF214856F1F0D6D43197B1D55C73A5A0C3CC97,Capco,India
"Manager, Data Science (Analytics)","This job is with eBay, an inclusive employer and a member of myGwork – the largest global platform for the LGBTQ business community. Please do not contact the recruiter directly. At eBay, we're more than a global ecommerce leader - we're changing the way the world shops and sells. Our platform empowers millions of buyers and sellers in more than 190 markets around the world. We're committed to pushing boundaries and leaving our mark as we reinvent the future of ecommerce for enthusiasts. Our cu…",Not specified,https://www.adzuna.in/land/ad/5790410716?se=CJ4sLs998RGNqvBiBxieKA&utm_medium=api&utm_source=d6220ea2&v=6E034D68AE9DC3507800DD212ED7DDFE1E30A3DA,eBay,"Bangalore, Karnataka"
Data Science & AI Specialist,"This job is with ABB, an inclusive employer and a member of myGwork – the largest global platform for the LGBTQ business community. Please do not contact the recruiter directly. At ABB, we help industries run leaner and cleaner—and every person here makes that happen. You’ll be empowered to lead, supported to grow, and proud of the impact we create together. Join us and help run what runs the world. This Position reports to: Digital Solution Engineering Manager What we believe in ABB’s Process …",Not specified,https://www.adzuna.in/land/ad/5790410794?se=CJ4sLs998RGNqvBiBxieKA&utm_medium=api&utm_source=d6220ea2&v=03BAFE75D6355A9E973FD77C0F82BA98BB46809A,ABB,"Bangalore, Karnataka"
"Data Science- Analyst, Search","This job is with eBay, an inclusive employer and a member of myGwork – the largest global platform for the LGBTQ business community. Please do not contact the recruiter directly. At eBay, we're more than a global ecommerce leader - we're changing the way the world shops and sells. Our platform empowers millions of buyers and sellers in more than 190 markets around the world. We're committed to pushing boundaries and leaving our mark as we reinvent the future of ecommerce for enthusiasts. Our cu…",Not specified,https://www.adzuna.in/land/ad/5785771936?se=CJ4sLs998RGNqvBiBxieKA&utm_medium=api&utm_source=d6220ea2&v=DB1C0DEE73CE17BCBD611528EC71D477DC7DA6B4,eBay,"Bangalore, Karnataka"
"Senior Data Scientist - Data Platform Team, Hyderabad","This job is with Warner Bros. Discovery, an inclusive employer and a member of myGwork – the largest global platform for the LGBTQ business community. Please do not contact the recruiter directly. Welcome to Warner Bros. Discovery… the stuff dreams are made of. Who We Are… When we say, “the stuff dreams are made of,” we’re not just referring to the world of wizards, dragons and superheroes, or even to the wonders of Planet Earth. Behind WBD’s vast portfolio of iconic content and beloved brands,…",Not specified,https://www.adzuna.in/land/ad/5795883269?se=CJ4sLs998RGNqvBiBxieKA&utm_medium=api&utm_source=d6220ea2&v=4F5DF772F175BA4855DAE714229AB15BEB485FB5,Warner Bros. Discovery,"Hyderabad, Telangana"
Digital Marketing & Lead Generation Specialist,"Founded in 2002, Amerit Consulting is a nationally recognized staffing and workforce solutions firm serving Fortune 500 companies and enterprise clients across the United States. As a Service-Disabled Veteran-Owned Business (SDVOB), Amerit specializes in delivering top talent across Technology, Healthcare, Engineering, Scientific, Finance, and Professional Services. With thousands of consultants supporting clients nationwide, Amerit provides contract staffing, direct hire recruiting, payroll se…",Not specified,https://www.adzuna.in/land/ad/5797155349?se=llW9L8998RG2W77HaMXIjA&utm_medium=api&utm_source=d6220ea2&v=550A070D113EF614C5498B75625F26B0F45C2FD0,Amerit Consulting,India
Retail Store Assistant and Digital Marketing Executive,"Company Description: Riders Inc. is the one of the Largest Multi-brand Cycle store located in Coimbatore and Salem. With over 200 models from 25 brands we have the widest range of bicycles catering to needs of every cyclist across all age groups. We also have a wide range of accessories, components and spares from premium brands. Our store has dedicated Technology center to provide service and maintenance for cycles. The company encourages learning and development, particularly in modern retail…",Not specified,https://www.adzuna.in/land/ad/5789297930?se=llW9L8998RG2W77HaMXIjA&utm_medium=api&utm_source=d6220ea2&v=79AC6E81FDFA912291366BAF2F04F74FEBB1B162,RIDERS INC Multibrand Store,"Coimbatore, Tamil Nadu"
Educational Counselor,"Company Description National Digital Marketing Institute and Training (NDMIT) was established in 2016 in India to deliver quality, classroom-based courses in digital marketing. The institute focuses on practical, industry-recognized programs that prepare learners for professional careers in the digital marketing field. NDMIT’s staff, course developers, and tutors are committed to providing up-to-date and application-oriented learning experiences. Graduates of NDMIT have gone on to manage real d…",Not specified,https://www.adzuna.in/land/ad/5794371556?se=llW9L8998RG2W77HaMXIjA&utm_medium=api&utm_source=d6220ea2&v=2D01BD20AC53DEBA6F4FFBD8B83BE7DF13E70C54,NDMIT,"Agra, Uttar Pradesh"
Junior Content Writer,"Junior Content Writer (1–2 Years Experience)  Chennai (On-site) | Full-time Annual CTC - 2.4Lacs - 3.6Lacs About the Company The Creative Studio – Digital Marketing Agency helps brands grow and strengthen their presence both online and offline. We work with a diverse range of clients to build compelling brand identities, increase audience engagement, and support business growth through creative marketing strategies. Join our team to work on exciting projects in a collaborative and fast-paced en…",Not specified,https://www.adzuna.in/land/ad/5784149691?se=llW9L8998RG2W77HaMXIjA&utm_medium=api&utm_source=d6220ea2&v=BE34B1DA42FA040FFF405B88D3BE79FA0B56D0B2,The Creative Studio - Digital Marketing Agency,"Chennai, Tamil Nadu"
Inside Sales Specialist,"We are seeking a proactive Telecaller & Digital Marketing Executive to join our dynamic team. The ideal candidate should have a solid background in telecalling, preferably with experience in SAP Or Oracle Cloud solutions. Additionally, the role involves managing digital marketing activities such as email campaigns, LinkedIn engagement, and handling incoming leads to support our sales and marketing efforts. Key Responsibilities: Conduct outbound calls to prospects to generate leads and schedule …",Not specified,https://www.adzuna.in/land/ad/5787070309?se=llW9L8998RG2W77HaMXIjA&utm_medium=api&utm_source=d6220ea2&v=FEE5FFFB489129A91CC52CC71ECA01F1B342E989,Blueprint Technologies Pvt Ltd,India
